"sample_id","sample_date","nh4_n","ca","mg","no3_n","k","year"
"Q1",1988-01-05,19,4.06,2.66,132,0.76,1988
"Q1",1988-01-12,18,4.08,2.61,134,0.77,1988
"Q1",1988-01-19,21,4.16,2.67,125,0.75,1988
"Q1",1988-01-26,14,4.41,2.85,123,0.74,1988
"Q1",1988-01-29,24,2.63,1.41,267,0.84,1988
"Q1",1988-02-02,17,2.57,1.62,168,0.79,1988
"Q1",1988-02-03,NA,NA,NA,NA,NA,1988
"Q1",1988-02-04,NA,NA,NA,NA,NA,1988
"Q1",1988-02-09,54,4.09,2.73,149,0.8,1988
"Q1",1988-02-10,NA,NA,NA,NA,NA,1988
"Q1",1988-02-16,20,4.04,2.67,113,0.77,1988
"Q1",1988-02-23,28,4.39,2.94,152,0.85,1988
"Q1",1988-03-01,18,4.31,2.96,144,0.81,1988
"Q1",1988-03-08,25,3.89,2.12,144,0.5,1988
"Q1",1988-03-15,34,4.02,2.72,148,0.7,1988
"Q1",1988-03-23,13,4.05,2.76,144,0.73,1988
"Q1",1988-03-29,16,1.34,1.19,252,1.06,1988
"Q1",1988-04-05,26,2.75,2.31,135,0.82,1988
"Q1",1988-04-12,34,4.22,2.77,141,0.71,1988
"Q1",1988-04-19,16,3.82,2.57,150,0.85,1988
"Q1",1988-04-26,28,4.3,2.87,142,0.74,1988
"Q1",1988-05-03,65,4.18,2.82,139,0.75,1988
"Q1",1988-05-10,NA,NA,NA,NA,NA,1988
"Q1",1988-05-17,237,1.12,1.12,148,NA,1988
"Q1",1988-05-24,63,1.34,1.2,149,0.75,1988
"Q1",1988-05-31,61,3.16,2.57,156,0.9,1988
"Q1",1988-06-07,59,3.58,2.91,147,0.8,1988
"Q1",1988-06-14,68,3.53,2.85,NA,0.79,1988
"Q1",1988-06-21,158,2.66,1.95,NA,0.81,1988
"Q1",1988-06-28,NA,4.87,2.71,NA,0.71,1988
"Q1",1988-07-05,NA,3.41,2.84,NA,0.78,1988
"Q1",1988-07-12,NA,NA,0.54,NA,NA,1988
"Q1",1988-07-19,NA,2.54,1.84,NA,0.73,1988
"Q1",1988-07-22,NA,3.2,2.47,NA,0.82,1988
"Q1",1988-07-26,NA,NA,NA,NA,NA,1988
"Q1",1988-08-02,NA,3.48,2.9,NA,0.73,1988
"Q1",1988-08-09,NA,3.56,2.92,NA,0.81,1988
"Q1",1988-08-16,16,3.49,2.85,NA,0.84,1988
"Q1",1988-08-23,NA,3.95,2.71,135,0.87,1988
"Q1",1988-08-24,NA,0.75,0.47,11,0.48,1988
"Q1",1988-08-30,NA,3.29,2.62,150,0.78,1988
"Q1",1988-09-06,15,3.9,2.76,120,0.69,1988
"Q1",1988-09-13,NA,0.7,1.53,192,0.79,1988
"Q1",1988-09-20,47,3.75,2.64,150,0.75,1988
"Q1",1988-09-27,NA,4.21,2.66,149,0.71,1988
"Q1",1988-10-04,59,3.05,2.09,43,0.73,1988
"Q1",1988-10-11,49,5.02,2.58,151,0.75,1988
"Q1",1988-10-18,46,NA,NA,154,NA,1988
"Q1",1988-10-25,NA,3.97,2.56,146,0.88,1988
"Q1",1988-11-01,NA,4.28,2.72,143,0.86,1988
"Q1",1988-11-07,NA,4.34,2.73,137,0.87,1988
"Q1",1988-11-15,NA,4.22,2.68,130,0.99,1988
"Q1",1988-11-22,NA,3.82,2.31,139,0.86,1988
"Q1",1988-11-29,NA,4.2,2.8,139,0.82,1988
"Q1",1988-12-06,NA,4.24,2.5,139,0.82,1988
"Q1",1988-12-13,NA,4.23,2.65,149,1.05,1988
"Q1",1988-12-20,NA,4.26,2.75,156,0.93,1988
"Q1",1988-12-27,NA,4.15,2.68,156,0.93,1988
"Q1",1989-01-03,NA,NA,0.49,NA,0.23,1989
"Q1",1989-01-10,NA,4.09,2.49,221,0.97,1989
"Q1",1989-01-17,NA,4.43,2.73,10,0.99,1989
"Q1",1989-01-24,NA,4.4,2.79,155,0.96,1989
"Q1",1989-01-31,NA,4.48,2.87,171,0.99,1989
"Q1",1989-02-07,NA,4.5,2.78,176,0.95,1989
"Q1",1989-02-14,NA,4.32,2.94,179,0.78,1989
"Q1",1989-02-21,NA,4.18,2.77,159,0.85,1989
"Q1",1989-02-28,NA,3.94,2.64,159,0.94,1989
"Q1",1989-03-07,NA,4.29,2.91,152,0.83,1989
"Q1",1989-03-09,NA,NA,NA,NA,NA,1989
"Q1",1989-03-14,NA,4.1,2.62,NA,0.89,1989
"Q1",1989-03-21,NA,4.05,2.88,148,0.79,1989
"Q1",1989-03-28,NA,3.98,2.82,147,0.79,1989
"Q1",1989-04-04,NA,3.51,2.76,146,0.82,1989
"Q1",1989-04-11,NA,4.29,2.38,143,0.84,1989
"Q1",1989-04-18,NA,4.92,2.79,114,0.78,1989
"Q1",1989-04-25,NA,4.92,2.74,147,0.88,1989
"Q1",1989-05-02,NA,4.96,2.8,135,0.91,1989
"Q1",1989-05-09,NA,4.62,2.61,148,0.99,1989
"Q1",1989-05-16,NA,4.75,2.87,149,0.89,1989
"Q1",1989-05-23,NA,4.81,2.89,142,0.86,1989
"Q1",1989-05-30,NA,4.74,2.96,144,0.88,1989
"Q1",1989-06-06,NA,5.22,4.97,134,1.4,1989
"Q1",1989-06-13,NA,4.83,2.06,129,0.82,1989
"Q1",1989-06-20,NA,4.3,3.08,141,0.81,1989
"Q1",1989-06-27,NA,4.53,3.15,161,0.83,1989
"Q1",1989-07-05,NA,2.4,1.26,10,0.89,1989
"Q1",1989-07-11,NA,5.05,2.95,123,1.02,1989
"Q1",1989-07-18,NA,4.93,2.79,NA,1.02,1989
"Q1",1989-07-26,NA,4.41,2.6,119,0.95,1989
"Q1",1989-08-01,NA,4.3,2.77,134,0.92,1989
"Q1",1989-08-08,NA,4.61,2.99,91,0.99,1989
"Q1",1989-08-15,NA,4.47,3.09,95,0.98,1989
"Q1",1989-08-22,NA,1.22,1.33,200,0.9,1989
"Q1",1989-08-29,NA,4.52,2.66,36,0.9,1989
"Q1",1989-09-05,NA,4.75,2.96,22,0.87,1989
"Q1",1989-09-12,NA,4.22,2.94,NA,0.91,1989
"Q1",1989-09-20,NA,NA,NA,NA,NA,1989
"Q1",1989-09-22,NA,3.88,2.48,10,0.99,1989
"Q1",1989-09-26,NA,3.93,2.63,NA,1.27,1989
"Q1",1989-10-03,NA,4.24,2.83,NA,0.98,1989
"Q1",1989-10-05,NA,NA,NA,NA,1.26,1989
"Q1",1989-10-10,NA,4.31,2.87,89,0.91,1989
"Q1",1989-10-17,NA,4.42,2.92,NA,1.04,1989
"Q1",1989-10-24,NA,4.48,2.95,251,1.19,1989
